minecraft:air	0	0	1
minecraft:stone	1	1	1
minecraft:granite	2	2	1
minecraft:polished_granite	3	3	1
minecraft:diorite	4	4	1
minecraft:polished_diorite	5	5	1
minecraft:andesite	6	6	1
minecraft:polished_andesite	7	7	1
minecraft:grass_block	8	8	2
minecraft:dirt	9	10	1
minecraft:coarse_dirt	10	11	1
minecraft:podzol	11	12	2
minecraft:cobblestone	12	14	1
minecraft:oak_planks	13	15	1
minecraft:spruce_planks	14	16	1
minecraft:birch_planks	15	17	1
minecraft:jungle_planks	16	18	1
minecraft:acacia_planks	17	19	1
minecraft:cherry_planks	18	20	1
minecraft:dark_oak_planks	19	21	1
minecraft:mangrove_planks	20	22	1
minecraft:bamboo_planks	21	23	1
minecraft:bamboo_mosaic	22	24	1
minecraft:oak_sapling	23	25	2
minecraft:spruce_sapling	24	27	2
minecraft:birch_sapling	25	29	2
minecraft:jungle_sapling	26	31	2
minecraft:acacia_sapling	27	33	2
minecraft:cherry_sapling	28	35	2
minecraft:dark_oak_sapling	29	37	2
minecraft:mangrove_propagule	30	39	40
minecraft:bedrock	31	79	1
minecraft:water	32	80	16
minecraft:lava	33	96	16
minecraft:sand	34	112	1
minecraft:suspicious_sand	35	113	4
minecraft:red_sand	36	117	1
minecraft:gravel	37	118	1
minecraft:suspicious_gravel	38	119	4
minecraft:gold_ore	39	123	1
minecraft:deepslate_gold_ore	40	124	1
minecraft:iron_ore	41	125	1
minecraft:deepslate_iron_ore	42	126	1
minecraft:coal_ore	43	127	1
minecraft:deepslate_coal_ore	44	128	1
minecraft:nether_gold_ore	45	129	1
minecraft:oak_log	46	130	3
minecraft:spruce_log	47	133	3
minecraft:birch_log	48	136	3
minecraft:jungle_log	49	139	3
minecraft:acacia_log	50	142	3
minecraft:cherry_log	51	145	3
minecraft:dark_oak_log	52	148	3
minecraft:mangrove_log	53	151	3
minecraft:mangrove_roots	54	154	2
minecraft:muddy_mangrove_roots	55	156	3
minecraft:bamboo_block	56	159	3
minecraft:stripped_spruce_log	57	162	3
minecraft:stripped_birch_log	58	165	3
minecraft:stripped_jungle_log	59	168	3
minecraft:stripped_acacia_log	60	171	3
minecraft:stripped_cherry_log	61	174	3
minecraft:stripped_dark_oak_log	62	177	3
minecraft:stripped_oak_log	63	180	3
minecraft:stripped_mangrove_log	64	183	3
minecraft:stripped_bamboo_block	65	186	3
minecraft:oak_wood	66	189	3
minecraft:spruce_wood	67	192	3
minecraft:birch_wood	68	195	3
minecraft:jungle_wood	69	198	3
minecraft:acacia_wood	70	201	3
minecraft:cherry_wood	71	204	3
minecraft:dark_oak_wood	72	207	3
minecraft:mangrove_wood	73	210	3
minecraft:stripped_oak_wood	74	213	3
minecraft:stripped_spruce_wood	75	216	3
minecraft:stripped_birch_wood	76	219	3
minecraft:stripped_jungle_wood	77	222	3
minecraft:stripped_acacia_wood	78	225	3
minecraft:stripped_cherry_wood	79	228	3
minecraft:stripped_dark_oak_wood	80	231	3
minecraft:stripped_mangrove_wood	81	234	3
minecraft:oak_leaves	82	237	28
minecraft:spruce_leaves	83	265	28
minecraft:birch_leaves	84	293	28
minecraft:jungle_leaves	85	321	28
minecraft:acacia_leaves	86	349	28
minecraft:cherry_leaves	87	377	28
minecraft:dark_oak_leaves	88	405	28
minecraft:mangrove_leaves	89	433	28
minecraft:azalea_leaves	90	461	28
minecraft:flowering_azalea_leaves	91	489	28
minecraft:sponge	92	517	1
minecraft:wet_sponge	93	518	1
minecraft:glass	94	519	1
minecraft:lapis_ore	95	520	1
minecraft:deepslate_lapis_ore	96	521	1
minecraft:lapis_block	97	522	1
minecraft:dispenser	98	523	12
minecraft:sandstone	99	535	1
minecraft:chiseled_sandstone	100	536	1
minecraft:cut_sandstone	101	537	1
minecraft:note_block	102	538	1300
minecraft:white_bed	103	1838	16
minecraft:orange_bed	104	1854	16
minecraft:magenta_bed	105	1870	16
minecraft:light_blue_bed	106	1886	16
minecraft:yellow_bed	107	1902	16
minecraft:lime_bed	108	1918	16
minecraft:pink_bed	109	1934	16
minecraft:gray_bed	110	1950	16
minecraft:light_gray_bed	111	1966	16
minecraft:cyan_bed	112	1982	16
minecraft:purple_bed	113	1998	16
minecraft:blue_bed	114	2014	16
minecraft:brown_bed	115	2030	16
minecraft:green_bed	116	2046	16
minecraft:red_bed	117	2062	16
minecraft:black_bed	118	2078	16
minecraft:powered_rail	119	2094	24
minecraft:detector_rail	120	2118	24
minecraft:sticky_piston	121	2142	12
minecraft:cobweb	122	2154	1
minecraft:short_grass	123	2155	1
minecraft:fern	124	2156	1
minecraft:dead_bush	125	2157	1
minecraft:seagrass	126	2158	1
minecraft:tall_seagrass	127	2159	2
minecraft:piston	128	2161	12
minecraft:piston_head	129	2173	24
minecraft:white_wool	130	2197	1
minecraft:orange_wool	131	2198	1
minecraft:magenta_wool	132	2199	1
minecraft:light_blue_wool	133	2200	1
minecraft:yellow_wool	134	2201	1
minecraft:lime_wool	135	2202	1
minecraft:pink_wool	136	2203	1
minecraft:gray_wool	137	2204	1
minecraft:light_gray_wool	138	2205	1
minecraft:cyan_wool	139	2206	1
minecraft:purple_wool	140	2207	1
minecraft:blue_wool	141	2208	1
minecraft:brown_wool	142	2209	1
minecraft:green_wool	143	2210	1
minecraft:red_wool	144	2211	1
minecraft:black_wool	145	2212	1
minecraft:moving_piston	146	2213	12
minecraft:dandelion	147	2225	1
